tweet_id,timestamp_utc,content,like_count,retweet_count,reply_count,hashtags,mentions,url,query
2011135299875901451,2026-01-13T17:56:35.000Z,"Stay away from banking sector,Psu banks will crash 40-50%.

Alert  
#niftycrash #Nifty50 
#Iran #BBMzansiS6",0,0,0,"#niftycrash,#Nifty50,#Iran,#BBMzansiS6",,https://x.com/DeepakK12121/status/2011135299875901451,combined_finance
2011134801299100125,2026-01-13T17:54:36.000Z,"Market Wrap-Up: Jan 13, 2026
 The Closing Bell: 

Sensex: 83,627.69 (▼250.48 pts)

Nifty 50: 25,732.30 (▼57.95 pts)

#StockMarketIndia #Nifty50 #BankNifty #Investing #DalalStreet #TradingStrategy",0,0,1,"#StockMarketIndia,#Nifty50,#BankNifty,#Investing,#DalalStreet,#TradingStrategy",,https://x.com/shud6721/status/2011134801299100125,combined_finance
2011133987885105653,2026-01-13T17:51:22.000Z,"Bearish View:
If Nifty opens gap-down and slips below 25,585, further downside may be seen:
 Targets: 25,505 & 24,450

#NIFTY
#BANKNIFTY
#StockMarketIndia
#OptionsTrading
#StocksToWatch 
#StockslnFocus",0,0,0,"#NIFTY,#BANKNIFTY,#StockMarketIndia,#OptionsTrading,#StocksToWatch,#StockslnFocus",,https://x.com/voltricsX/status/2011133987885105653,combined_finance
2011133983288148106,2026-01-13T17:51:21.000Z,"Bullish View:
If Nifty opens with a gap-up and holds above 25,840, we may see an upward move towards:
 Targets: 25,925 & 26,050

#NIFTY
#BANKNIFTY
#StockMarketIndia
#OptionsTrading
#StocksToWatch 
#StockslnFocus",0,0,1,"#NIFTY,#BANKNIFTY,#StockMarketIndia,#OptionsTrading,#StocksToWatch,#StockslnFocus",,https://x.com/voltricsX/status/2011133983288148106,combined_finance
2011133980847088027,2026-01-13T17:51:20.000Z,"NIFTY 50 – Market Setup | 14 Jan (Wednesday)

After a gap-up opening, profit booking was seen in Nifty today. Below are the key levels to watch for tomorrow 

#NIFTY
#BANKNIFTY
#StockMarketIndia
#OptionsTrading
#StocksToWatch 
#StockslnFocus",0,0,1,"#NIFTY,#BANKNIFTY,#StockMarketIndia,#OptionsTrading,#StocksToWatch,#StockslnFocus",,https://x.com/voltricsX/status/2011133980847088027,combined_finance
2011133480772780226,2026-01-13T17:49:21.000Z,"#Nifty50 Declines 57.95 Points (0.22%) to close at 25732.30
Today’s High – 25899.80
Today’s Low – 25603.30
52 week High – 26373.20
52 Week Low – 21743.65 
#NSE #Nifty #StockMarketUpdate #StockMarketIndia #StockMarket #Stocks #BSE",0,0,0,"#Nifty50,#NSE,#Nifty,#StockMarketUpdate,#StockMarketIndia,#StockMarket,#Stocks,#BSE",,https://x.com/BusinessNewsPo1/status/2011133480772780226,combined_finance
2011132896279740905,2026-01-13T17:47:02.000Z,"#Sensex Down 250.48 Points (0.30%) to close at 83627.69
Today’s High – 84258.03
Today’s Low – 83262.79
52 week High – 86159.02
52 Week Low – 71425.01 
#NSE #Nifty #StockMarketUpdate #StockMarketIndia #StockMarket #Stocks #BSE",0,0,0,"#Sensex,#NSE,#Nifty,#StockMarketUpdate,#StockMarketIndia,#StockMarket,#Stocks,#BSE",,https://x.com/BusinessNewsPo1/status/2011132896279740905,combined_finance
2011132458331480205,2026-01-13T17:45:17.000Z,"GoCharting via 
GoCharting.com 
gocharting.com/sh/27c1e3b0-06
… #Stocks #Cryptocurrency #Sensex #Nifty #Index #Bitcoin",1,0,0,"#Stocks,#Cryptocurrency,#Sensex,#Nifty,#Index,#Bitcoin",,https://x.com/RakeshYada66984/status/2011132458331480205,combined_finance
2011131728568733853,2026-01-13T17:42:23.000Z,"Nifty Prediction For Tomorrow 
#Nifty
#Nifty50
#niftycrash
#OptionsTrading",0,0,0,"#Nifty,#Nifty50,#niftycrash,#OptionsTrading",,https://x.com/Riskfreeprofit/status/2011131728568733853,combined_finance
2011131420841042044,2026-01-13T17:41:10.000Z,"Kal Ka Set-Up (14-Jan-2026)
Range: 25,850 – 25,620 (No Trading Zone)

 Agar 25,850 breaks and sustain then → phir level banta hai → 26,900 → 26,940 → 26,980

 Agar 25,620 breaks and sustain then → level to watch → 25,570 → 25,520 → 25,470

Pro Tip 

#Nifty50",0,0,1,#Nifty50,,https://x.com/CapitexT68172/status/2011131420841042044,combined_finance
2011131355263066285,2026-01-13T17:40:54.000Z,"Shhh... 

For many years, Fishcher Black, I read somewhere, had to give the prices to the Street, as they did not even know how to visualise them. 

#Optionstrading #Nifty50",0,0,0,"#Optionstrading,#Nifty50",,https://x.com/urstrulyNam/status/2011131355263066285,combined_finance
2011131064237097078,2026-01-13T17:39:45.000Z,"GoCharting via 
GoCharting.com 
gocharting.com/sh/ebdf47f6-d6
… #Stocks #Cryptocurrency #Sensex #Nifty #Index #Bitcoin",2,0,0,"#Stocks,#Cryptocurrency,#Sensex,#Nifty,#Index,#Bitcoin",,https://x.com/RakeshYada66984/status/2011131064237097078,combined_finance
2011130562032123964,2026-01-13T17:37:45.000Z,"Will book half #silverbees Tommorow 

#nifty #sensex #silver #XAGUSD #XAUUSD #comex #commodity #gold
#copper",1,0,1,"#silverbees,#nifty,#sensex,#silver,#XAGUSD,#XAUUSD,#comex,#commodity,#gold,#copper",,https://x.com/vishuchourasia/status/2011130562032123964,combined_finance
2011130438396641662,2026-01-13T17:37:16.000Z,"GoCharting via 
GoCharting.com 
gocharting.com/sh/d608ef32-44
… #Stocks #Cryptocurrency #Sensex #Nifty #Index #Bitcoin",2,0,0,"#Stocks,#Cryptocurrency,#Sensex,#Nifty,#Index,#Bitcoin",,https://x.com/RakeshYada66984/status/2011130438396641662,combined_finance
2011129837835125026,2026-01-13T17:34:52.000Z,"#USmarkets
#QQQ 
#INTRADAY 
Jan 13th 2026

My levels
If QQQ sustains below 627.92 it will considered weak",0,0,0,"#USmarkets,#QQQ,#INTRADAY",,https://x.com/intradaybyuday/status/2011129837835125026,combined_finance
2011129669236769216,2026-01-13T17:34:12.000Z,"GoCharting via 
GoCharting.com 
gocharting.com/sh/d2b04f6e-4c
… #Stocks #Cryptocurrency #Sensex #Nifty #Index #Bitcoin TARGET DONE.",2,0,0,"#Stocks,#Cryptocurrency,#Sensex,#Nifty,#Index,#Bitcoin",,https://x.com/RakeshYada66984/status/2011129669236769216,combined_finance
2011129293431324952,2026-01-13T17:32:43.000Z,"Trading isn’t just charts and candlesticks.
It goes much deeper…

➤ It reveals your discipline
➤ It exposes your greed
➤ It tests your patience
➤ It humbles your ego

Trading isn’t just a skill; it’s a mirror.

#Nifty #Banknifty #Optionselling #OptionsTrading",0,0,0,"#Nifty,#Banknifty,#Optionselling,#OptionsTrading",,https://x.com/HedgingDesk/status/2011129293431324952,combined_finance
2011129292756041923,2026-01-13T17:32:43.000Z,"Welcome to chaos of markets till god knows when.. The upmove kills like anything.
Budget day tak yahi rhega
#Nifty50 #niftycrash",0,0,0,"#Nifty50,#niftycrash",,https://x.com/shades_abhi1/status/2011129292756041923,combined_finance
2011129181606973462,2026-01-13T17:32:16.000Z,"#Nifty50 #nifty  #sensex I went through a lot of posts where analysts mentioned their mona lisa charts about 26700 a week back. 
Surprisingly, I don't even see them apologising nor posting any update on their view. It's a shame to have such people in the market with followers.",0,0,0,"#Nifty50,#nifty,#sensex",,https://x.com/ShailendraSolo4/status/2011129181606973462,combined_finance
2011127982937850136,2026-01-13T17:27:30.000Z,"Market outlook for Jan 14, 2026: Expecting #Nifty50  to remain sideways with a bearish bias",0,0,0,#Nifty50,,https://x.com/deepakrv007/status/2011127982937850136,combined_finance
